100   35710830676333380000000000352000000000352000002000000010410408040921060004880486810804221615000488   1030000100030000   541120000011777031200000002ZAW TI KA THINKAN TIKE YGN           MMR11008040921060004880804000000000000000   10300003 00104100000000000000000000070400     
100   9503051026093340000000000001485000000001485000200000001041040804040909001107JVYAVN0804221610001107   1030000100030000   541120003103777031200000031GAMONE PWINT (BKLZ)    YGN           MMR11008040409090011070804000000000000000   10300002 00104100000000000000000000002970     
100   9503051020131567000000000026810000000026810000200000001041040804102108002017B02FXE0804221616002017   1030000100030000   541160000001777031200000006MK FASHION             YGN           MMR11008041021080020170804000000000000000   10300002 00104100000000000000000000053620     
100   9503051024707271000000000001800000000001800000200000001041040804062118002759UWBDCS0804221612002759   1030000100030000   541110001903777031200000019GAMONE PWINT (KBA)     YGN           MMR11008040621180027590804000000000000000   10300002 00104100000000000000000000003600     
100   35710830689606640000000000024500000000024500002000000010410408040953320008070681400804221616000807   1030000100030000   541120003111777031200000031GAMONE PWINT (BKLZ)    YGN           MMR11008040953320008070804000000000000000   10300003 00104100000000000000000000004900     
100   95030510201633880000000000032800000000032800002000000010410408040459340011095ASREK0804221611001109   1030000100030000   541120003103777031200000031GAMONE PWINT (BKLZ)    YGN           MMR11008040459340011090804000000000000000   10300002 00104100000000000000000000006560     
100   35710830021438720000000000087150000000087150002000000010410408040551060008739226810804221612000873   1030000100030000   541120003005777031200000030GAMONE PWINT (TGZ)     YGN           MMR11008040551060008730804000000000000000   10300003 00104100000000000000000000017430     
100   9503051024331346000000000001750000000001750000200000001041040804073505002637FWN0KS0804221614002637   1030000100030000   541120003117777031200000031GAMONE PWINT (BKLZ)    YGN           MMR11008040735050026370804000000000000000   10300002 00104100000000000000000000003500     
100   9503051890068899000000000001248000000001248000200000001041040804114506000596RETZL00804221618000596   1030000100030000   541120003012777031200000030GAMONE PWINT (TGZ)     YGN           MMR11008041145060005960804000000000000000   10300002 00104100000000000000000000002496     
100   9503051888398464000000000002180000000002180000200000001041040804122044002764WQDSCU0804221618002764   1030000100030000   541110001903777031200000019GAMONE PWINT (KBA)     YGN           MMR11008041220440027640804000000000000000   10300002 00104100000000000000000000004360     
100   35710830689606640000000000010700000000010700002000000010410408041112140011131153610804221617001113   1030000100030000   541120003103777031200000031GAMONE PWINT (BKLZ)    YGN           MMR11008041112140011130804000000000000000   10300003 00104100000000000000000000002140     
100   9503051885337747000000000002240000000002240000200000001041040804064623000875QFIXX30804221613000875   1030000100030000   541120003005777031200000030GAMONE PWINT (TGZ)     YGN           MMR11008040646230008750804000000000000000   10300002 00104100000000000000000000004480     
100   9503051885337747000000000001710000000001710000200000001041040804041409001322ZLK9UN0804221610001322   1030000100030000   541120003008777031200000030GAMONE PWINT (TGZ)     YGN           MMR11008040414090013220804000000000000000   10300002 00104100000000000000000000003420     
100   35710830689606640000000000016650000000016650002000000010410408041010440026380784600804221616002638   1030000100030000   541120003117777031200000031GAMONE PWINT (BKLZ)    YGN           MMR11008041010440026380804000000000000000   10300003 00104100000000000000000000003330     
100   35710830362933880000000000170200000000170200002000000010410408040859180020140356010804221615002014   1030000100030000   541160000001777031200000006MK FASHION             YGN           MMR11008040859180020140804000000000000000   10300003 00104100000000000000000000034040     
100   9503051020131567000000000015330000000015330000200000001041040804102402002019TG9FRQ0804221616002019   1030000100030000   541160000001777031200000006MK FASHION             YGN           MMR11008041024020020190804000000000000000   10300002 00104100000000000000000000030660     
100   35710500313644720000000000115808000000115808002000000010410408040846030006034584080804221615000603   1030000100030000   541120003001777031200000030GAMONE PWINT (TGZ)     YGN           MMR11008040846030006030804000000000000000   10300005 00104100000000000000000000023162     
100   9503051897730111000000000001210000000001210000200000001041040804062104001760CONVLJ0804221612001760   1030000100030000   581250000001777031200000005AVENUE J COFFEE SHOP   YGN           MMR11008040621040017600804000000000000000   10300002 00104100000000000000000000004114     
100   9503051025701281000000000001408000000001408000200000001041040804063711001761YNW7YO0804221613001761   1030000100030000   581250000001777031200000005AVENUE J COFFEE SHOP   YGN           MMR11008040637110017610804000000000000000   10300002 00104100000000000000000000004787     
100   62921400060353210000000000008030000000008030002000000010410408041022090017632222220804221616001763   1030000100030000   581250000001777031200000005AVENUE J COFFEE SHOP   YGN           MMR11008041022090017630804000000000000000   10300009 00104100000000000000000000002730     
100   35710830671312830000000000021400000000021400002000000010410408041204190008771466100804221618000877   1030000100030000   541120003005777031200000030GAMONE PWINT (TGZ)     YGN           MMR11008041204190008770804000000000000000   10300003 00104100000000000000000000004280     
100   9503051872687781000000000002190000000002190000200000001041040804044905002650DEZQ7O0804221611002650   1030000100030000   541120003106777031200000031GAMONE PWINT (BKLZ)    YGN           MMR11008040449050026500804000000000000000   10300002 00104100000000000000000000004380     
100   95030518859521980000000000019400000000019400002000000010410408040857250006045PNEKE0804221615000604   1030000100030000   541120003001777031200000030GAMONE PWINT (TGZ)     YGN           MMR11008040857250006040804000000000000000   10300002 00104100000000000000000000003880     
100   9503051885952198000000000000285000000000285000200000001041040804111156000608GC9Z5E0804221617000608   1030000100030000   541120003001777031200000030GAMONE PWINT (TGZ)     YGN           MMR11008041111560006080804000000000000000   10300002 00104100000000000000000000000570     
100   62343302008133640000000000032400000000032400002000000010410408040935260008645835560804221616000864   1030000100030000   581210001201777031200000012L OPERA RESTAURANT YGN YGN           MMR11008040935260008640804000000000000000   10300004 00104100000000000000000000011016     
100   35710830698833520000000000018000000000018000002000000010410408040935210011110572210804221616001111   1030000100030000   541120003103777031200000031GAMONE PWINT (BKLZ)    YGN           MMR11008040935210011110804000000000000000   10300003 00104100000000000000000000003600     
100   9503051023276948000000000001420000000001420000200000001041040804112523001327K3D9UU0804221617001327   1030000100030000   541120003008777031200000030GAMONE PWINT (TGZ)     YGN           MMR11008041125230013270804000000000000000   10300002 00104100000000000000000000002840     
100   62622000249744000000000000016000000000016000002000000010410408041057200026533310140804221617002653   1030000100030000   541120003106777031200000031GAMONE PWINT (BKLZ)    YGN           MMR11008041057200026530804000000000000000   10300006 00104100000000000000000000003200     
100   9503051885337747000000000004100000000004100000200000001041040804040846000592K4GANL0804221610000592   1030000100030000   541120003012777031200000030GAMONE PWINT (TGZ)     YGN           MMR11008040408460005920804000000000000000   10300002 00104100000000000000000000008200     
100   950319000644135800000000000195000000000195000020000000104104080403203700080442IY6O0804221609000804   1030000100030000   541120003111777031200000031GAMONE PWINT (BKLZ)    YGN           MMR11008040320370008040804000000000000000   10300014 00104100000000000000000000003900     
100   9503051888914401000000000000680000000000680000200000001041040804100041001762MKDX180804221616001762   1030000100030000   581250000001777031200000005AVENUE J COFFEE SHOP   YGN           MMR11008041000410017620804000000000000000   10300002 00104100000000000000000000002312     
100   62921400024902800000000000020900000000020900002000000010410408041046590006062222220804221617000606   1030000100030000   541120003001777031200000030GAMONE PWINT (TGZ)     YGN           MMR11008041046590006060804000000000000000   10300009 00104100000000000000000000004180     
100   35710500313358520000000000009751000000009751002000000010410408041054180006071747960804221617000607   1030000100030000   541120003001777031200000030GAMONE PWINT (TGZ)     YGN           MMR11008041054180006070804000000000000000   10300005 00104100000000000000000000001950     
100   35710830671312830000000000039300000000039300002000000010410408040631390008749470110804221613000874   1030000100030000   541120003005777031200000030GAMONE PWINT (TGZ)     YGN           MMR11008040631390008740804000000000000000   10300003 00104100000000000000000000007860     
100   9503051020196578000000000000850000000000850000200000001041040804082549000594AD6DPV0804221614000594   1030000100030000   541120003012777031200000030GAMONE PWINT (TGZ)     YGN           MMR11008040825490005940804000000000000000   10300002 00104100000000000000000000001700     
100   62346600161310680000000000014700000000014700002000000010410408040439460008054538800804221611000805   1030000100030000   541120003111777031200000031GAMONE PWINT (BKLZ)    YGN           MMR11008040439460008050804000000000000000   10300005 00104100000000000000000000002940     
